idx,Dataset,Feature Calculator,Feature Level,Number Of Removed Links,Number Of Correct Suggestions,AUC
0,Datasets.Amazon,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,390,14.0,0.517948717948718
0,Datasets.Amazon,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,390,40.0,0.5512820512820513
0,Datasets.Amazon,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,390,53.0,0.5679487179487179
0,Datasets.Amazon,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,390,89.0,0.6141025641025641
0,Datasets.Amazon,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,390,72.0,0.5923076923076923
0,Datasets.Amazon,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,390,73.0,0.5935897435897436
0,Datasets.Amazon,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,390,13.0,0.5166666666666667
0,Datasets.Amazon,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,390,38.0,0.5487179487179488
0,Datasets.Amazon,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,390,38.0,0.5487179487179488
0,Datasets.Amazon,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,390,13.0,0.5166666666666667
0,Datasets.Amazon,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,390,40.0,0.5512820512820513
0,Datasets.Amazon,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,390,40.0,0.5512820512820513
0,Datasets.Amazon,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,,,exception
0,Datasets.Amazon,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,,,exception
0,Datasets.Amazon,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,,,exception
0,Datasets.Amazon,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,390,8.0,0.5102564102564102
0,Datasets.Amazon,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,390,39.0,0.55
0,Datasets.Amazon,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,390,39.0,0.55
0,Datasets.Amazon,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,,,exception
0,Datasets.Amazon,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,390,39.0,0.55
0,Datasets.Amazon,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,,,exception
0,Datasets.Amazon,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,390,65.0,0.5833333333333334
0,Datasets.Amazon,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,390,40.0,0.5512820512820513
0,Datasets.Amazon,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,390,40.0,0.5512820512820513
0,Datasets.Amazon,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1,390,11.0,0.514102564102564
0,Datasets.Amazon,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_2,390,17.0,0.5217948717948718
0,Datasets.Amazon,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1_And_2,390,18.0,0.5230769230769231
1,Datasets.Amazon,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,390,16.0,0.5205128205128206
1,Datasets.Amazon,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,390,57.0,0.573076923076923
1,Datasets.Amazon,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,390,68.0,0.5871794871794872
1,Datasets.Amazon,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,390,87.0,0.6115384615384616
1,Datasets.Amazon,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,390,62.0,0.5794871794871794
1,Datasets.Amazon,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,390,67.0,0.5858974358974359
1,Datasets.Amazon,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,390,10.0,0.5128205128205128
1,Datasets.Amazon,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,390,41.0,0.5525641025641026
1,Datasets.Amazon,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,390,45.0,0.5576923076923077
1,Datasets.Amazon,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,390,11.0,0.514102564102564
1,Datasets.Amazon,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,390,41.0,0.5525641025641026
1,Datasets.Amazon,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,390,46.0,0.558974358974359
1,Datasets.Amazon,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,,,exception
1,Datasets.Amazon,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,,,exception
1,Datasets.Amazon,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,,,exception
1,Datasets.Amazon,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,390,10.0,0.5128205128205128
1,Datasets.Amazon,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,390,40.0,0.5512820512820513
1,Datasets.Amazon,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,390,46.0,0.558974358974359
1,Datasets.Amazon,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,,,exception
1,Datasets.Amazon,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,390,41.0,0.5525641025641026
1,Datasets.Amazon,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,,,exception
1,Datasets.Amazon,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,390,55.0,0.5705128205128205
1,Datasets.Amazon,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,390,65.0,0.5833333333333334
1,Datasets.Amazon,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,390,69.0,0.5884615384615385
1,Datasets.Amazon,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1,390,10.0,0.5128205128205128
1,Datasets.Amazon,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_2,390,20.0,0.5256410256410257
1,Datasets.Amazon,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1_And_2,390,22.0,0.5282051282051282
2,Datasets.Amazon,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,390,10.0,0.5128205128205128
2,Datasets.Amazon,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,390,33.0,0.5423076923076923
2,Datasets.Amazon,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,390,42.0,0.5538461538461539
2,Datasets.Amazon,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,390,75.0,0.5961538461538461
2,Datasets.Amazon,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,390,58.0,0.5743589743589743
2,Datasets.Amazon,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,390,59.0,0.5756410256410256
2,Datasets.Amazon,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,390,10.0,0.5128205128205128
2,Datasets.Amazon,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,390,33.0,0.5423076923076923
2,Datasets.Amazon,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,390,38.0,0.5487179487179488
2,Datasets.Amazon,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,390,10.0,0.5128205128205128
2,Datasets.Amazon,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,390,33.0,0.5423076923076923
2,Datasets.Amazon,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,390,38.0,0.5487179487179488
2,Datasets.Amazon,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,,,exception
2,Datasets.Amazon,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,,,exception
2,Datasets.Amazon,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,,,exception
2,Datasets.Amazon,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,390,10.0,0.5128205128205128
2,Datasets.Amazon,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,390,32.0,0.541025641025641
2,Datasets.Amazon,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,390,37.0,0.5474358974358975
2,Datasets.Amazon,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,,,exception
2,Datasets.Amazon,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,390,32.0,0.541025641025641
2,Datasets.Amazon,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,,,exception
2,Datasets.Amazon,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,390,60.0,0.5769230769230769
2,Datasets.Amazon,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,390,52.0,0.5666666666666667
2,Datasets.Amazon,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,390,54.0,0.5692307692307692
2,Datasets.Amazon,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1,390,10.0,0.5128205128205128
2,Datasets.Amazon,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_2,390,19.0,0.5243589743589744
2,Datasets.Amazon,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1_And_2,390,21.0,0.5269230769230769
3,Datasets.Amazon,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,390,12.0,0.5153846153846153
3,Datasets.Amazon,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,390,51.0,0.5653846153846154
3,Datasets.Amazon,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,390,73.0,0.5935897435897436
3,Datasets.Amazon,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,390,81.0,0.6038461538461538
3,Datasets.Amazon,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,390,65.0,0.5833333333333334
3,Datasets.Amazon,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,390,65.0,0.5833333333333334
3,Datasets.Amazon,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,390,12.0,0.5153846153846153
3,Datasets.Amazon,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,390,41.0,0.5525641025641026
3,Datasets.Amazon,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,390,43.0,0.5551282051282052
3,Datasets.Amazon,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,390,12.0,0.5153846153846153
3,Datasets.Amazon,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,390,44.0,0.5564102564102564
3,Datasets.Amazon,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,390,47.0,0.5602564102564103
3,Datasets.Amazon,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,,,exception
3,Datasets.Amazon,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,,,exception
3,Datasets.Amazon,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,,,exception
3,Datasets.Amazon,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,390,11.0,0.514102564102564
3,Datasets.Amazon,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,390,46.0,0.558974358974359
3,Datasets.Amazon,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,390,50.0,0.5641025641025641
3,Datasets.Amazon,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,,,exception
3,Datasets.Amazon,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,390,47.0,0.5602564102564103
3,Datasets.Amazon,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,,,exception
3,Datasets.Amazon,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,390,61.0,0.5782051282051281
3,Datasets.Amazon,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,390,60.0,0.5769230769230769
3,Datasets.Amazon,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,390,62.0,0.5794871794871794
3,Datasets.Amazon,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1,390,11.0,0.514102564102564
3,Datasets.Amazon,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_2,390,19.0,0.5243589743589744
3,Datasets.Amazon,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1_And_2,390,22.0,0.5282051282051282
4,Datasets.Amazon,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,390,15.0,0.5192307692307693
4,Datasets.Amazon,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,390,41.0,0.5525641025641026
4,Datasets.Amazon,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,390,50.0,0.5641025641025641
4,Datasets.Amazon,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,390,80.0,0.6025641025641025
4,Datasets.Amazon,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,390,66.0,0.5846153846153846
4,Datasets.Amazon,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,390,66.0,0.5846153846153846
4,Datasets.Amazon,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,390,15.0,0.5192307692307693
4,Datasets.Amazon,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,390,37.0,0.5474358974358975
