idx,Dataset,Feature Calculator,Feature Level,Number Of Removed Links,Number Of Correct Suggestions,AUC
0,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,214,20.0,0.5467289719626168
0,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,214,28.0,0.5654205607476636
0,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,214,29.0,0.5677570093457944
0,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,214,15.0,0.5350467289719626
0,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,214,24.0,0.5560747663551402
0,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,214,24.0,0.5560747663551402
0,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,214,22.0,0.5514018691588785
0,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,214,29.0,0.5677570093457944
0,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,214,29.0,0.5677570093457944
0,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,214,20.0,0.5467289719626168
0,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,214,29.0,0.5677570093457944
0,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,214,31.0,0.572429906542056
0,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,214,2.0,0.5046728971962616
0,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,214,27.0,0.5630841121495327
0,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,214,6.0,0.514018691588785
0,Datasets.Celegansneural,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,214,20.0,0.5467289719626168
0,Datasets.Celegansneural,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,214,26.0,0.5607476635514018
0,Datasets.Celegansneural,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,214,27.0,0.5630841121495327
0,Datasets.Celegansneural,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,,,exception
0,Datasets.Celegansneural,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,214,26.0,0.5607476635514018
0,Datasets.Celegansneural,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,,,exception
0,Datasets.Celegansneural,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,214,23.0,0.5537383177570093
0,Datasets.Celegansneural,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,214,33.0,0.5771028037383178
0,Datasets.Celegansneural,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,214,36.0,0.5841121495327103
0,Datasets.Celegansneural,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1,214,20.0,0.5467289719626168
0,Datasets.Celegansneural,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_2,214,30.0,0.5700934579439252
0,Datasets.Celegansneural,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1_And_2,214,30.0,0.5700934579439252
1,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,214,24.0,0.5560747663551402
1,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,214,26.0,0.5607476635514018
1,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,214,25.0,0.5584112149532711
1,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,214,14.0,0.5327102803738317
1,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,214,19.0,0.544392523364486
1,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,214,19.0,0.544392523364486
1,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,214,20.0,0.5467289719626168
1,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,214,23.0,0.5537383177570093
1,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,214,27.0,0.5630841121495327
1,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,214,24.0,0.5560747663551402
1,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,214,25.0,0.5584112149532711
1,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,214,27.0,0.5630841121495327
1,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,214,4.0,0.5093457943925234
1,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,214,24.0,0.5560747663551402
1,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,214,9.0,0.5210280373831776
1,Datasets.Celegansneural,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,214,26.0,0.5607476635514018
1,Datasets.Celegansneural,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,214,24.0,0.5560747663551402
1,Datasets.Celegansneural,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,214,28.0,0.5654205607476636
1,Datasets.Celegansneural,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,,,exception
1,Datasets.Celegansneural,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,214,25.0,0.5584112149532711
1,Datasets.Celegansneural,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,,,exception
1,Datasets.Celegansneural,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,214,28.0,0.5654205607476636
1,Datasets.Celegansneural,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,214,29.0,0.5677570093457944
1,Datasets.Celegansneural,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,214,28.0,0.5654205607476636
1,Datasets.Celegansneural,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1,214,22.0,0.5514018691588785
1,Datasets.Celegansneural,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_2,214,20.0,0.5467289719626168
1,Datasets.Celegansneural,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1_And_2,214,24.0,0.5560747663551402
2,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,214,16.0,0.5373831775700935
2,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,214,18.0,0.5420560747663551
2,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,214,19.0,0.544392523364486
2,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,214,9.0,0.5210280373831776
2,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,214,12.0,0.5280373831775701
2,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,214,12.0,0.5280373831775701
2,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,214,18.0,0.5420560747663551
2,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,214,20.0,0.5467289719626168
2,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,214,19.0,0.544392523364486
2,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,214,18.0,0.5420560747663551
2,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,214,20.0,0.5467289719626168
2,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,214,19.0,0.544392523364486
2,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,214,11.0,0.5257009345794392
2,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,214,19.0,0.544392523364486
2,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,214,11.0,0.5257009345794392
2,Datasets.Celegansneural,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,214,17.0,0.5397196261682243
2,Datasets.Celegansneural,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,214,18.0,0.5420560747663551
2,Datasets.Celegansneural,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,214,18.0,0.5420560747663551
2,Datasets.Celegansneural,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,,,exception
2,Datasets.Celegansneural,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,214,19.0,0.544392523364486
2,Datasets.Celegansneural,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,,,exception
2,Datasets.Celegansneural,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,214,18.0,0.5420560747663551
2,Datasets.Celegansneural,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,214,19.0,0.544392523364486
2,Datasets.Celegansneural,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,214,19.0,0.544392523364486
2,Datasets.Celegansneural,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1,214,15.0,0.5350467289719626
2,Datasets.Celegansneural,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_2,214,15.0,0.5350467289719626
2,Datasets.Celegansneural,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1_And_2,214,16.0,0.5373831775700935
3,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,214,24.0,0.5560747663551402
3,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,214,26.0,0.5607476635514018
3,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,214,25.0,0.5584112149532711
3,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,214,13.0,0.530373831775701
3,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,214,23.0,0.5537383177570093
3,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,214,24.0,0.5560747663551402
3,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,214,28.0,0.5654205607476636
3,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,214,26.0,0.5607476635514018
3,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,214,26.0,0.5607476635514018
3,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,214,27.0,0.5630841121495327
3,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,214,26.0,0.5607476635514018
3,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,214,29.0,0.5677570093457944
3,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,,,exception
3,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,,,exception
3,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,,,exception
3,Datasets.Celegansneural,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,214,27.0,0.5630841121495327
3,Datasets.Celegansneural,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,214,23.0,0.5537383177570093
3,Datasets.Celegansneural,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,214,26.0,0.5607476635514018
3,Datasets.Celegansneural,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,,,exception
3,Datasets.Celegansneural,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,214,23.0,0.5537383177570093
3,Datasets.Celegansneural,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,,,exception
3,Datasets.Celegansneural,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,214,37.0,0.5864485981308412
3,Datasets.Celegansneural,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,214,26.0,0.5607476635514018
3,Datasets.Celegansneural,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,214,29.0,0.5677570093457944
3,Datasets.Celegansneural,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1,214,23.0,0.5537383177570093
3,Datasets.Celegansneural,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_2,214,25.0,0.5584112149532711
3,Datasets.Celegansneural,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1_And_2,214,28.0,0.5654205607476636
4,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,214,18.0,0.5420560747663551
4,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,214,22.0,0.5514018691588785
4,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,214,25.0,0.5584112149532711
4,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,214,9.0,0.5210280373831776
4,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,214,19.0,0.544392523364486
4,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,214,19.0,0.544392523364486
4,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,214,19.0,0.544392523364486
4,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,214,27.0,0.5630841121495327
