idx,Dataset,Feature Calculator,Feature Level,Number Of Removed Links,Number Of Correct Suggestions,AUC,Number Of Correct Suggestions By OCC,AUC By OCC
0,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,644,110.0,0.5854037267080745,18.0,0.5139751552795031
0,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,644,121.0,0.593944099378882,11.0,0.5085403726708074
0,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,644,125.0,0.5970496894409938,14.0,0.5108695652173914
0,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,644,81.0,0.562888198757764,12.0,0.5093167701863354
0,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,644,101.0,0.578416149068323,25.0,0.5194099378881988
0,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,644,104.0,0.5807453416149069,24.0,0.5186335403726708
0,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,644,106.0,0.5822981366459627,22.0,0.5170807453416149
0,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,644,112.0,0.5869565217391304,17.0,0.5131987577639752
0,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,644,123.0,0.5954968944099379,11.0,0.5085403726708074
0,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,644,118.0,0.5916149068322981,20.0,0.515527950310559
0,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,644,118.0,0.5916149068322981,16.0,0.5124223602484472
0,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,644,122.0,0.59472049689441,12.0,0.5093167701863354
0,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,,,exception,,
0,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,,,exception,,
0,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,,,exception,,
0,Datasets.Celegansneural,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,644,123.0,0.5954968944099379,22.0,0.5170807453416149
0,Datasets.Celegansneural,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,644,106.0,0.5822981366459627,17.0,0.5131987577639752
0,Datasets.Celegansneural,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,644,115.0,0.5892857142857143,12.0,0.5093167701863354
0,Datasets.Celegansneural,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,644,120.0,0.593167701863354,23.0,0.5178571428571429
0,Datasets.Celegansneural,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,644,102.0,0.5791925465838509,11.0,0.5085403726708074
0,Datasets.Celegansneural,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,644,117.0,0.5908385093167702,17.0,0.5131987577639752
0,Datasets.Celegansneural,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,644,133.0,0.6032608695652174,66.0,0.5512422360248447
0,Datasets.Celegansneural,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,644,101.0,0.578416149068323,23.0,0.5178571428571429
0,Datasets.Celegansneural,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,644,107.0,0.5830745341614907,23.0,0.5178571428571429
0,Datasets.Celegansneural,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1,644,99.0,0.5768633540372671,44.0,0.5341614906832298
0,Datasets.Celegansneural,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_2,644,116.0,0.5900621118012422,30.0,0.5232919254658385
0,Datasets.Celegansneural,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1_And_2,644,117.0,0.5908385093167702,34.0,0.5263975155279503
1,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,644,110.0,0.5854037267080745,27.0,0.5209627329192547
1,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,644,97.0,0.5753105590062112,18.0,0.5139751552795031
1,Datasets.Celegansneural,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,644,104.0,0.5807453416149069,13.0,0.5100931677018633
1,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,644,73.0,0.5566770186335404,16.0,0.5124223602484472
1,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,644,88.0,0.5683229813664596,10.0,0.5077639751552795
1,Datasets.Celegansneural,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,644,90.0,0.5698757763975155,12.0,0.5093167701863354
1,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,644,116.0,0.5900621118012422,25.0,0.5194099378881988
1,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,644,96.0,0.5745341614906833,11.0,0.5085403726708074
1,Datasets.Celegansneural,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,644,105.0,0.5815217391304348,15.0,0.5116459627329193
1,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,644,113.0,0.5877329192546584,29.0,0.5225155279503105
1,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,644,99.0,0.5768633540372671,12.0,0.5093167701863354
1,Datasets.Celegansneural,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,644,112.0,0.5869565217391304,11.0,0.5085403726708074
1,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,,,exception,,
1,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,,,exception,,
1,Datasets.Celegansneural,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,,,exception,,
