idx,Dataset,Feature Calculator,Feature Level,Number Of Removed Links,Number Of Correct Suggestions,AUC,Number Of Correct Suggestions By OCC,AUC By OCC
0,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,306,113.0,0.684640522875817,8.0,0.5130718954248366
0,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,306,91.0,0.6486928104575164,71.0,0.6160130718954249
0,Datasets.Football,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,306,113.0,0.684640522875817,21.0,0.5343137254901961
0,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,306,5.0,0.5081699346405228,21.0,0.5343137254901961
0,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,306,100.0,0.6633986928104575,47.0,0.576797385620915
0,Datasets.Football,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,306,93.0,0.6519607843137255,7.0,0.511437908496732
0,Datasets.Football,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,306,104.0,0.6699346405228759,35.0,0.5571895424836601
0,Datasets.Football,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,306,94.0,0.6535947712418301,46.0,0.5751633986928104
0,Datasets.Football,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,306,110.0,0.6797385620915033,16.0,0.5261437908496732
0,Datasets.Football,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,306,104.0,0.6699346405228759,35.0,0.5571895424836601
0,Datasets.Football,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,306,96.0,0.6568627450980392,53.0,0.5866013071895425
0,Datasets.Football,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,306,110.0,0.6797385620915033,16.0,0.5261437908496732
0,Datasets.Football,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,306,123.0,0.7009803921568627,10.0,0.5163398692810458
