idx,Dataset,Feature Calculator,Feature Level,Number Of Removed Links,Number Of Correct Suggestions,AUC,Number Of Correct Suggestions By OCC,AUC By OCC
0,Datasets.Macaque,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,420,163.0,0.694047619047619,67.0,0.5797619047619047
0,Datasets.Macaque,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,420,193.0,0.7297619047619047,158.0,0.6880952380952381
0,Datasets.Macaque,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,420,229.0,0.7726190476190475,177.0,0.7107142857142857
0,Datasets.Macaque,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,420,240.0,0.7857142857142857,195.0,0.7321428571428572
0,Datasets.Macaque,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,420,238.0,0.7833333333333333,93.0,0.6107142857142858
0,Datasets.Macaque,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,420,238.0,0.7833333333333333,96.0,0.6142857142857143
0,Datasets.Macaque,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,420,167.0,0.6988095238095238,83.0,0.5988095238095238
0,Datasets.Macaque,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,420,213.0,0.7535714285714286,160.0,0.6904761904761905
0,Datasets.Macaque,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,420,235.0,0.7797619047619048,160.0,0.6904761904761905
0,Datasets.Macaque,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,420,169.0,0.7011904761904761,73.0,0.5869047619047619
0,Datasets.Macaque,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,420,202.0,0.7404761904761905,155.0,0.6845238095238095
0,Datasets.Macaque,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,420,231.0,0.775,172.0,0.7047619047619047
0,Datasets.Macaque,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,420,29.0,0.5345238095238095,101.0,0.6202380952380953
0,Datasets.Macaque,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,420,193.0,0.7297619047619047,157.0,0.6869047619047619
0,Datasets.Macaque,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,420,218.0,0.7595238095238095,60.0,0.5714285714285714
0,Datasets.Macaque,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,420,167.0,0.6988095238095238,77.0,0.5916666666666667
0,Datasets.Macaque,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,420,207.0,0.7464285714285714,154.0,0.6833333333333333
0,Datasets.Macaque,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,420,230.0,0.7738095238095238,166.0,0.6976190476190476
0,Datasets.Macaque,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,420,173.0,0.7059523809523809,91.0,0.6083333333333334
0,Datasets.Macaque,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,420,214.0,0.7547619047619047,168.0,0.7
0,Datasets.Macaque,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,420,231.0,0.775,156.0,0.6857142857142857
0,Datasets.Macaque,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,420,233.0,0.7773809523809524,166.0,0.6976190476190476
0,Datasets.Macaque,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,420,235.0,0.7797619047619048,194.0,0.730952380952381
0,Datasets.Macaque,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,420,242.0,0.7880952380952381,165.0,0.6964285714285714
0,Datasets.Macaque,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1,420,163.0,0.694047619047619,95.0,0.6130952380952381
0,Datasets.Macaque,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_2,420,189.0,0.725,160.0,0.6904761904761905
0,Datasets.Macaque,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1_And_2,420,207.0,0.7464285714285714,165.0,0.6964285714285714
1,Datasets.Macaque,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,420,154.0,0.6833333333333333,59.0,0.5702380952380952
1,Datasets.Macaque,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,420,181.0,0.7154761904761905,154.0,0.6833333333333333
1,Datasets.Macaque,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,420,215.0,0.7559523809523809,164.0,0.6952380952380952
1,Datasets.Macaque,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,420,227.0,0.7702380952380952,182.0,0.7166666666666667
1,Datasets.Macaque,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,420,228.0,0.7714285714285714,101.0,0.6202380952380953
1,Datasets.Macaque,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,420,228.0,0.7714285714285714,104.0,0.6238095238095238
1,Datasets.Macaque,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,420,155.0,0.6845238095238095,90.0,0.6071428571428571
1,Datasets.Macaque,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,420,199.0,0.736904761904762,158.0,0.6880952380952381
1,Datasets.Macaque,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,420,218.0,0.7595238095238095,158.0,0.6880952380952381
1,Datasets.Macaque,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,420,158.0,0.6880952380952381,76.0,0.5904761904761905
1,Datasets.Macaque,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,420,191.0,0.7273809523809524,165.0,0.6964285714285714
1,Datasets.Macaque,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,420,218.0,0.7595238095238095,168.0,0.7
1,Datasets.Macaque,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,420,23.0,0.5273809523809524,86.0,0.6023809523809524
1,Datasets.Macaque,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,420,181.0,0.7154761904761905,154.0,0.6833333333333333
1,Datasets.Macaque,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,420,198.0,0.7357142857142858,82.0,0.5976190476190476
1,Datasets.Macaque,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,420,160.0,0.6904761904761905,83.0,0.5988095238095238
1,Datasets.Macaque,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,420,187.0,0.7226190476190476,165.0,0.6964285714285714
