idx,Dataset,Feature Calculator,Feature Level,Number Of Removed Links,Number Of Correct Suggestions,AUC
0,Datasets.USAir97,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,212,78.0,0.6839622641509434
0,Datasets.USAir97,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,212,31.0,0.5731132075471698
0,Datasets.USAir97,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,212,63.0,0.6485849056603774
0,Datasets.USAir97,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,212,67.0,0.6580188679245282
0,Datasets.USAir97,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,212,75.0,0.6768867924528301
0,Datasets.USAir97,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,212,75.0,0.6768867924528301
0,Datasets.USAir97,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,212,99.0,0.7334905660377359
0,Datasets.USAir97,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,212,59.0,0.6391509433962264
0,Datasets.USAir97,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,212,62.0,0.6462264150943396
0,Datasets.USAir97,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,212,84.0,0.6981132075471699
0,Datasets.USAir97,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,212,52.0,0.6226415094339622
0,Datasets.USAir97,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,212,65.0,0.6533018867924528
0,Datasets.USAir97,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,,,exception
0,Datasets.USAir97,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,,,exception
0,Datasets.USAir97,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,,,exception
0,Datasets.USAir97,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,212,84.0,0.6981132075471699
0,Datasets.USAir97,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,212,43.0,0.6014150943396226
0,Datasets.USAir97,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,212,62.0,0.6462264150943396
0,Datasets.USAir97,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,,,exception
0,Datasets.USAir97,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,212,49.0,0.6155660377358491
0,Datasets.USAir97,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,,,exception
0,Datasets.USAir97,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,212,88.0,0.7075471698113207
0,Datasets.USAir97,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,212,61.0,0.6438679245283019
0,Datasets.USAir97,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,212,77.0,0.6816037735849056
0,Datasets.USAir97,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1,212,78.0,0.6839622641509434
0,Datasets.USAir97,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_2,212,21.0,0.5495283018867925
0,Datasets.USAir97,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1_And_2,212,25.0,0.5589622641509434
1,Datasets.USAir97,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,212,73.0,0.6721698113207547
1,Datasets.USAir97,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,212,29.0,0.5683962264150944
1,Datasets.USAir97,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,212,55.0,0.6297169811320755
1,Datasets.USAir97,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,212,69.0,0.6627358490566038
1,Datasets.USAir97,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,212,76.0,0.6792452830188679
1,Datasets.USAir97,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,212,76.0,0.6792452830188679
1,Datasets.USAir97,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,212,94.0,0.7216981132075472
1,Datasets.USAir97,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,212,55.0,0.6297169811320755
1,Datasets.USAir97,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,212,57.0,0.6344339622641509
1,Datasets.USAir97,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,212,77.0,0.6816037735849056
1,Datasets.USAir97,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,212,45.0,0.6061320754716981
1,Datasets.USAir97,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,212,58.0,0.6367924528301887
1,Datasets.USAir97,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,,,exception
1,Datasets.USAir97,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,,,exception
1,Datasets.USAir97,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,,,exception
1,Datasets.USAir97,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,212,78.0,0.6839622641509434
1,Datasets.USAir97,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,212,38.0,0.589622641509434
1,Datasets.USAir97,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,212,51.0,0.6202830188679245
1,Datasets.USAir97,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,,,exception
1,Datasets.USAir97,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,212,43.0,0.6014150943396226
1,Datasets.USAir97,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,,,exception
1,Datasets.USAir97,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,212,83.0,0.6957547169811321
1,Datasets.USAir97,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,212,50.0,0.6179245283018868
1,Datasets.USAir97,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,212,63.0,0.6485849056603774
1,Datasets.USAir97,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1,212,70.0,0.6650943396226415
1,Datasets.USAir97,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_2,212,21.0,0.5495283018867925
1,Datasets.USAir97,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1_And_2,212,24.0,0.5566037735849056
2,Datasets.USAir97,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,212,85.0,0.7004716981132075
2,Datasets.USAir97,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,212,28.0,0.5660377358490566
2,Datasets.USAir97,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,212,54.0,0.6273584905660378
2,Datasets.USAir97,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,212,74.0,0.6745283018867925
2,Datasets.USAir97,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,212,85.0,0.7004716981132075
2,Datasets.USAir97,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,212,85.0,0.7004716981132075
2,Datasets.USAir97,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,212,105.0,0.7476415094339622
2,Datasets.USAir97,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,212,54.0,0.6273584905660378
2,Datasets.USAir97,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,212,59.0,0.6391509433962264
2,Datasets.USAir97,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,212,89.0,0.7099056603773585
2,Datasets.USAir97,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,212,49.0,0.6155660377358491
2,Datasets.USAir97,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,212,59.0,0.6391509433962264
2,Datasets.USAir97,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,,,exception
2,Datasets.USAir97,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,,,exception
2,Datasets.USAir97,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,,,exception
2,Datasets.USAir97,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,212,89.0,0.7099056603773585
