idx,Dataset,Feature Calculator,Feature Level,Number Of Removed Links,Number Of Correct Suggestions,AUC,Number Of Correct Suggestions By OCC,AUC By OCC
0,Datasets.USAir97,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,637,284.0,0.7229199372056515,24.0,0.5188383045525903
0,Datasets.USAir97,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,637,199.0,0.6562009419152276,3.0,0.5023547880690737
0,Datasets.USAir97,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1_And_2,637,251.0,0.6970172684458399,5.0,0.5039246467817896
0,Datasets.USAir97,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1,637,271.0,0.7127158555729984,47.0,0.5368916797488226
0,Datasets.USAir97,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_2,637,280.0,0.7197802197802198,26.0,0.5204081632653061
0,Datasets.USAir97,Feature_Calculator_Enum.Preferential_Attachment,Feature_Level_Enum.Level_1_And_2,637,280.0,0.7197802197802198,29.0,0.5227629513343799
0,Datasets.USAir97,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1,637,336.0,0.7637362637362637,71.0,0.5557299843014128
0,Datasets.USAir97,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_2,637,222.0,0.67425431711146,16.0,0.5125588697017268
0,Datasets.USAir97,Feature_Calculator_Enum.Resource_Allocation,Feature_Level_Enum.Level_1_And_2,637,240.0,0.6883830455259027,13.0,0.5102040816326531
0,Datasets.USAir97,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1,637,306.0,0.7401883830455259,41.0,0.5321821036106751
0,Datasets.USAir97,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_2,637,217.0,0.6703296703296704,4.0,0.5031397174254317
0,Datasets.USAir97,Feature_Calculator_Enum.Adamic_Adar,Feature_Level_Enum.Level_1_And_2,637,247.0,0.6938775510204082,7.0,0.5054945054945055
0,Datasets.USAir97,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1,,,exception,,
0,Datasets.USAir97,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_2,,,exception,,
0,Datasets.USAir97,Feature_Calculator_Enum.Jaccard,Feature_Level_Enum.Level_1_And_2,,,exception,,
0,Datasets.USAir97,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1,637,304.0,0.7386185243328101,33.0,0.5259026687598116
0,Datasets.USAir97,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_2,637,202.0,0.6585557299843015,5.0,0.5039246467817896
0,Datasets.USAir97,Feature_Calculator_Enum.Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,637,243.0,0.6907378335949764,5.0,0.5039246467817896
0,Datasets.USAir97,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1,637,294.0,0.7307692307692308,32.0,0.5251177394034537
0,Datasets.USAir97,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_2,637,207.0,0.6624803767660911,5.0,0.5039246467817896
0,Datasets.USAir97,Feature_Calculator_Enum.Local_Naive_Bayes_based_Common_Neighbor,Feature_Level_Enum.Level_1_And_2,637,245.0,0.6923076923076923,4.0,0.5031397174254317
0,Datasets.USAir97,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1,637,324.0,0.7543171114599686,131.0,0.6028257456828885
0,Datasets.USAir97,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_2,637,244.0,0.6915227629513344,13.0,0.5102040816326531
0,Datasets.USAir97,Feature_Calculator_Enum.Node_and_Link_Clustering_Coefficient,Feature_Level_Enum.Level_1_And_2,637,269.0,0.7111459968602826,17.0,0.5133437990580848
0,Datasets.USAir97,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1,637,283.0,0.7221350078492936,138.0,0.6083202511773941
0,Datasets.USAir97,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_2,637,135.0,0.6059654631083202,20.0,0.5156985871271585
0,Datasets.USAir97,Feature_Calculator_Enum.CAR,Feature_Level_Enum.Level_1_And_2,637,157.0,0.6232339089481946,22.0,0.5172684458398744
1,Datasets.USAir97,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_1,637,287.0,0.7252747252747253,38.0,0.5298273155416012
1,Datasets.USAir97,Feature_Calculator_Enum.Common_Neighbor,Feature_Level_Enum.Level_2,637,206.0,0.6616954474097332,6.0,0.5047095761381476
